school_name,district,city,level_group,school_type_or_flag,ospi_school_code,nces_id,enrollment_total
Quincy Innovation Academy Big Picture,Quincy School District,Quincy,High,Regular School (CCD),5650,530708003738,24
Rainier Valley Leadership Academy,Rainier Valley Leadership Academy,Seattle,Other,charter,5468,530034203602,121
Griffin Home,Renton School District,Renton,High,Special Education School (CCD),1534,530723002343,0
H.O.M.E. Program,Renton School District,Renton,Other,Alternative School (CCD),1784,530723002721,136
Out Of District Facility,Renton School District,Renton,Other,Special Education School (CCD),1648,530723001410,10
Renton Academy,Renton School District,Renton,Other,Alternative School (CCD),5070,530723003073,24
Renton Remote School,Renton School District,Renton,Other,Regular School (CCD),5638,530723003743,0
Renton Technical High School,Renton Technical College,Renton,High,statewide specialty (Phase 3R SKIP),5591,530032503695,66
Republic Parent Partner,Republic School District,REPUBLIC,Other,Alternative School (CCD),1898,530726002888,199
Special Programs,Richland School District,West Richland,Other,Special Education School (CCD),2001,530732002941,14
Twin Rivers Group Home,Richland School District,RICHLAND,High,Regular School (CCD),3469,530732002925,0
Ritzville High School,Ritzville School District,Ritzville,High,Regular School (CCD),2132,530738001111,133
Independent Scholar,Riverside School District,Chattaroy,Other,Alternative School (CCD),1919,530744002908,113
Choice,Riverview School District,Carnation,High,Regular School (CCD),5244,530456003375,0
PARADE,Riverview School District,Carnation,Other,Alternative School (CCD),1854,530456002797,86
Rooted School Washington,Rooted School Washington,Vancouver,High,charter,5755,531017103924,58
Rosalia Elementary & Secondary School,Rosalia School District,Rosalia,Other,Regular School (CCD),3204,530756002422,163
Friday Harbor High School,San Juan Island School District,FRIDAY HARBOR,High,Regular School (CCD),2879,530765001125,255
Griffin Bay School,San Juan Island School District,Friday Harbor,Other,Alternative School (CCD),1963,530765003136,47
Griffin Bay School Open Doors,San Juan Island School District,Friday Harbor,High,reengagement (by name),5559,530765003700,6
Interagency Detention School,Seattle School District No. 1,SEATTLE,High,Regular School (CCD),3496,530771002928,47
Interagency Open Doors,Seattle School District No. 1,Seattle,High,reengagement (by name),5405,530771003505,132
Private School Services,Seattle School District No. 1,Seattle,Other,Special Education School (CCD),5046,530771003046,184
Seattle Skills Center,Seattle School District No. 1,Seattle,High,Career and Technical School (CCD),5260,530771003414,0
Connections Academy,Sedro-Woolley School District,Sedro-Woolley,High,Alternative School (CCD),5456,530774003568,0
SELAH ACADEMY REENGAGEMENT PROGRAM,Selah School District,Selah,High,reengagement (by name),5334,530777003457,0
Selah Academy Auxiliary,Selah School District,Yakima,High,Regular School (CCD),5560,530777003676,13
Selah Open Doors,Selah School District,Selah,High,reengagement (by name),5561,530777003710,13
Selkirk High School,Selkirk School District,Ione,High,Regular School (CCD),5226,530780003344,76
Dungeness Virtual School,Sequim School District,Sequim,Other,virtual/online (by name),5613,530783003729,97
Olympic Peninsula Academy,Sequim School District,Sequim,Other,Alternative School (CCD),1708,530783002552,117
Cedar High School,Shelton School District,Shelton,High,Regular School (CCD),5621,530790003753,100
Mason County Detention Center,Shelton School District,Shelton,High,Regular School (CCD),1888,530790002865,1
Shelton Open Doors,Shelton School District,SHELTON,High,reengagement (by name),5548,530790003632,22
Fircrest Residential Habilitation,Shoreline School District,Shoreline,Other,Regular School (CCD),2612,530792002912,1
Handicapped Contractual Services,Shoreline School District,Shoreline,Other,Special Education School (CCD),1667,530792002447,155
Skykomish High School,Skykomish School District,Skykomish,High,Regular School (CCD),2513,530798001321,13
High School Re Entry,Snohomish School District,Snohomish,High,Alternative School (CCD),3981,530802001801,40
Parent Partnership,Snohomish School District,Snohomish,Other,Alternative School (CCD),1904,530802002894,90
Snohomish Center,Snohomish School District,Snohomish,Other,Special Education School (CCD),1730,530802002593,37
Snoqualmie Access,Snoqualmie Valley School District,Snoqualmie,Other,Special Education School (CCD),5181,530804003309,12
Two Rivers School,Snoqualmie Valley School District,Snoqualmie,High,Regular School (CCD),1502,530804002158,56
RISE Academy,Soap Lake School District,SOAP LAKE,High,Alternative School (CCD),1518,530807002355,0
Astravo Online Acaemy - Washington Online School - Washingto,South Bend School District,South Bend,Other,virtual/online (by name),5243,530810003365,0
Pacific County Jail,South Bend School District,South Bend,High,Alternative School (CCD),5247,530810003372,0
Spokane International Academy,Spokane International Academy,Spokane,Other,charter,5381,530033703539,824
A-3 Multiagency Adolescent Prog,Spokane School District,Spokane,High,Regular School (CCD),1533,530825002361,29
Alternative Tamarack School,Spokane School District,Spokane,High,Regular School (CCD),1604,530825000074,10
Bryant Center,Spokane School District,Spokane,Other,Alternative School (CCD),3008,530825002764,330
Open Doors,Spokane School District,Spokane,High,reengagement (by name),5344,530825003491,145
Sacred Heart Hospital,Spokane School District,Spokane,Other,Special Education School (CCD),4286,530825003367,0
Shrine Hospital,Spokane School District,Spokane,Other,Special Education School (CCD),2045,530825003417,0
Spokane Area Professional-Technical Skills Center,Spokane School District,Spokane,High,Career and Technical School (CCD),4191,530825002164,20
Spokane County Jail,Spokane School District,Spokane,High,Regular School (CCD),5249,530825003425,0
The Community School,Spokane School District,Spokane,High,Regular School (CCD),5301,530825003401,165
The Healing Lodge,Spokane School District,Spokane,High,Regular School (CCD),1767,530825002678,24
Sprague High School,Sprague School District,Sprague,High,Regular School (CCD),2186,530828001419,22
St John/Endicott High,St. John School District,Saint John,High,Regular School (CCD),3068,530831001421,60
Saratoga School,Stanwood-Camano School District,Stanwood,Other,Alternative School (CCD),5004,530834003011,218
Virtual Preparatory Academy of Washington,Starbuck School District,Starbuck,Other,virtual/online (by name),5696,530840003817,748
Sultan Virtual Academy,Sultan School District,Sultan,Other,virtual/online (by name),5642,530855003765,30
Summit Public School: Atlas,Summit Public School: Atlas,Seattle,High,charter,5469,530034303611,566
