school_name,district,grade_level_category,school_type_or_flag,ospi_school_code,nces_id,level,grade_span,enrollment_total
Support School,Federal Way School District,Other,Regular School (CCD),1951,530282002961,Other,PK-12,55
Technology Access Foundation Academy at Saghalie,Federal Way School District,High,Regular School (CCD),5473,530282003610,High,06-12,532
Ferndale Re-Engagement,Ferndale School District,High,reengagement (by name),5464,530285003576,High,09-12,33
Columbia Junior High School,Fife School District,High,Regular School (CCD),4582,530288003161,Secondary,08-09,619
River View High School,Finley School District,High,Regular School (CCD),2367,530291000469,High,09-12,321
Garfield at Palouse High School,Garfield School District,High,Regular School (CCD),1962,530300003135,High,09-12,45
Glenwood Secondary,Glenwood School District,High,Regular School (CCD),3048,530303000489,High,07-12,26
Lake Roosevelt Jr/Sr High School,Grand Coulee Dam School District,High,Regular School (CCD),2801,530313000496,High,07-12,308
Step to College Open Doors High School,Grandview School District,High,reengagement (by name),5399,530315003550,High,09-12,5
Harrington High School,Harrington School District,High,Regular School (CCD),3113,530336000512,High,07-12,44
CHOICE Academy,Highline School District,High,Alternative School (CCD),1539,530354002640,High,06-12,176
Career Link,Highline School District,High,Alternative School (CCD),5116,530354003224,High,09-12,0
Gateway to College,Highline School District,High,Alternative School (CCD),5254,530354003373,High,10-12,0
Highline Home School Center,Highline School District,Other,homeschool partnership,5371,530354003496,Other,KG-12,10
Maritime High School,Highline School District,High,Regular School (CCD),5672,530354003793,High,09-12,126
Puget Sound High School,Highline School District,High,Alternative School (CCD),5172,530354003283,High,09-12,0
Puget Sound Skills Center,Highline School District,High,Career and Technical School (CCD),2270,530354002103,High,10-12,3
Raisbeck Aviation High School,Highline School District,High,Alternative School (CCD),3553,530354002974,High,09-12,400
Satellite High School,Highline School District,Other,Special Education School (CCD),1973,530354002968,Other,PK-12,0
Southwest Youth and Family Services,Highline School District,High,Regular School (CCD),5277,530354003384,High,09-12,0
Hockinson High School,Hockinson School District,High,Regular School (CCD),4568,530357002938,High,09-12,669
Intergenerational High School,Intergenerational High School,High,charter,5710,530035103831,High,09-12,107
Echo Glen School,Issaquah School District,High,Regular School (CCD),3569,530375001773,High,05-12,104
Issaquah Special Services,Issaquah School District,Other,Special Education School (CCD),1624,530375001490,Other,PK-12,67
Kahlotus Elem & High,Kahlotus School District,Other,Regular School (CCD),3214,530378000583,Other,PK-12,59
Kalama High School,Kalama School District,High,Regular School (CCD),5545,530381003659,High,09-12,347
Kelso Goal Oriented Learning Design,Kelso School District,High,Alternative School (CCD),5547,530000303667,High,09-12,12
Kelso High School,Kelso School District,High,Regular School (CCD),2266,530000300593,High,09-12,1390
Kelso Virtual Academy,Kelso School District,Other,virtual/online (by name),5194,530000303314,Other,KG-12,216
Loowit High School,Kelso School District,High,Alternative School (CCD),1934,530000303109,High,06-12,14
Special Education,Kelso School District,Other,Special Education School (CCD),5076,530000303076,Other,PK-12,19
Benton County Jail,Kennewick School District,High,Regular School (CCD),5235,530393003352,High,09-12,0
Benton/Franklin Juvenile Justice Center,Kennewick School District,High,Regular School (CCD),4007,530393002546,High,06-12,34
Endeavor High School,Kennewick School District,High,Regular School (CCD),5727,530393003896,High,09-12,93
Kamiakin High School,Kennewick School District,High,Regular School (CCD),3731,530393000604,High,09-12,1956
Kennewick High School,Kennewick School District,High,Regular School (CCD),2826,530393000605,High,09-12,1921
Legacy High School,Kennewick School District,High,Alternative School (CCD),1884,530393003258,High,06-12,193
Mid-Columbia Parent Partnership,Kennewick School District,Other,Alternative School (CCD),1941,530393003115,Other,KG-12,503
Phoenix High School,Kennewick School District,High,Alternative School (CCD),5106,530393003231,High,09-12,58
Southridge High School,Kennewick School District,High,Regular School (CCD),4484,530393002009,High,09-12,1612
Tri-Tech Skills Center,Kennewick School District,High,Career and Technical School (CCD),4118,530393002110,High,09-12,0
Kent Laboratory Academy,Kent School District,Other,Alternative School (CCD),5676,530396003797,Other,03-12,291
Regional Justice Center,Kent School District,High,Alternative School (CCD),1807,530396002728,High,09-12,0
The Outreach Program,Kent School District,High,Special Education School (CCD),5440,530396003564,High,12-12,62
Kiona-Benton City High School,Kiona-Benton City School District,High,Regular School (CCD),2904,530402000639,High,09-12,435
Parke Creek Treatment Ctr,Kittitas School District,High,Regular School (CCD),3213,530405002916,High,08-12,11
Klickitat Elem & High,Klickitat School District,Other,Regular School (CCD),3494,530408000644,Other,KG-12,71
La Center Academy,La Center School District,Other,Alternative School (CCD),5326,530417003451,Other,KG-12,38
La Center High School,La Center School District,High,Regular School (CCD),4431,530417001049,High,09-12,555
Lacrosse High School,LaCrosse School District,High,Regular School (CCD),2088,530415000648,High,09-12,28
Chelan High School,Lake Chelan School District,High,Regular School (CCD),4260,530120002058,High,09-12,439
Chelan School of Innovation,Lake Chelan School District,High,Alternative School (CCD),1940,530120003114,High,09-12,50
Holden Village Community School,Lake Chelan School District,Other,Regular School (CCD),3861,530120000219,Other,KG-12,4
Lake Quinault School,Lake Quinault School District,Other,Regular School (CCD),2921,530705001050,Other,KG-12,207
Cavelero Mid High School,Lake Stevens School District,High,Regular School (CCD),5099,530420003190,Secondary,08-09,1490
Homelink,Lake Stevens School District,Other,Alternative School (CCD),1753,530420002670,Other,KG-12,31
LSSD Open Doors,Lake Stevens School District,High,reengagement (by name),5742,530420003911,High,09-12,15
Outcomes for Academic Resilience,Lake Stevens School District,High,Alternative School (CCD),5442,530420003562,High,08-12,0
Prove High School,Lake Stevens School District,High,Alternative School (CCD),4140,530420001782,High,09-12,0
Contractual Schools,Lake Washington School District,Other,Alternative School (CCD),1649,530423001598,Other,PK-12,10
Emerson K-12,Lake Washington School District,Other,Alternative School (CCD),1688,530423002725,Other,KG-12,67
Futures School,Lake Washington School District,High,Alternative School (CCD),1804,530423002727,High,09-12,0
International Community School,Lake Washington School District,High,Alternative School (CCD),1706,530423002568,High,06-12,421
Nikola Tesla STEM High School,Lake Washington School District,High,Alternative School (CCD),5265,530423003432,High,09-12,605
Washington Network for Innovative Careers Skill Center,Lake Washington School District,High,Career and Technical School (CCD),5958,530423003289,High,09-12,266
Lind-Ritzville High School,Lind School District,High,Regular School (CCD),2903,530441000696,High,09-12,47
Discovery High School,Longview School District,High,Alternative School (CCD),5312,530447003454,High,09-12,57
Discovery High School-Achieve,Longview School District,High,Alternative School (CCD),5400,530447003511,High,09-12,57
Longview Virtual Academy,Longview School District,High,virtual/online (by name),5614,530447003733,High,06-12,88
Mark Morris High School,Longview School District,High,Regular School (CCD),3151,530447000703,High,09-12,912
R A Long High School,Longview School District,High,Regular School (CCD),2416,530447000709,High,09-12,926
Lopez Middle High School,Lopez School District,High,Regular School (CCD),2632,530453000713,High,07-12,111
IMPACT Reengagement Program,Lynden School District,High,reengagement (by name),5466,530462003592,High,09-12,0
Lynden Academy,Lynden School District,Other,Alternative School (CCD),1983,530462003022,Other,KG-12,419
Mabton Step Up To College,Mabton School District,High,Alternative School (CCD),5443,530465003558,High,09-12,1
Mansfield Elem and High School,Mansfield School District,Other,Regular School (CCD),2233,530471000726,Other,PK-12,107
Manson High School,Manson School District,High,Regular School (CCD),2623,530474000728,High,09-12,220
Mary M. Knight School,Mary M Knight School District,Other,Regular School (CCD),5444,530480003571,Other,PK-12,184
Marysville Online High School,Marysville School District,High,virtual/online (by name),5731,530486003900,High,09-12,0
Marysville SD Special,Marysville School District,Other,Special Education School (CCD),1910,530486002900,Other,PK-12,197
Meridian Impact Re-Engagement,Meridian School District,High,reengagement (by name),5448,530501003563,High,09-12,21
Alternative Educational Experience,Methow Valley School District,Other,Alternative School (CCD),1845,530502002807,Other,KG-12,26
Liberty Bell Jr Sr High,Methow Valley School District,High,Regular School (CCD),2146,530502000770,High,06-12,356
Methow Valley Independent Learning Center,Methow Valley School District,High,Regular School (CCD),1621,530502001170,High,09-12,35
Pacific Crest Innovation Academy,Mill A School District,High,Regular School (CCD),5480,530504003616,High,09-12,25
Columbia Basin Technical Skills Center,Moses Lake School District,High,Career and Technical School (CCD),5273,530522003392,High,10-12,53
Vanguard Academy,Moses Lake School District,High,Regular School (CCD),5726,530522003895,High,09-12,387
Mossyrock Academy,Mossyrock School District,High,Alternative School (CCD),5415,530525003537,High,07-12,16
Mount Baker Academy,Mount Baker School District,Other,Alternative School (CCD),5112,530531003211,Other,KG-12,32
Mount Vernon Special Ed,Mount Vernon School District,Other,Special Education School (CCD),3829,530540001724,Other,PK-12,152
Northwest Career & Technical Academy/A WA Skills Center,Mount Vernon School District,High,Career and Technical School (CCD),5960,530540003297,High,09-12,43
Skagit Academy,Mount Vernon School District,Other,Alternative School (CCD),1992,530540003006,Other,KG-12,300
Sno-Isle Skills Center,Mukilteo School District,High,Career and Technical School (CCD),4019,530543002127,High,11-12,0
Special Services,Mukilteo School District,Other,Special Education School (CCD),1848,530543002820,Other,PK-12,45
NACHES VALLEY ESD 105 OPEN DOORS,Naches Valley School District,High,reengagement (by name),5580,530546003679,High,09-12,0
Naselle-Grays River Valley Jr Sr High Schools,Naselle-Grays River Valley School District,High,Regular School (CCD),3295,530552000831,High,06-12,189
Nespelem High School,Nespelem School District,High,Regular School (CCD),5740,530555003909,Secondary,09-10,19
Newport Home Link,Newport School District,Other,Alternative School (CCD),5681,530561003802,Other,KG-12,170
